,Name,IMDB,Metacritic,Rotten,Duriation,Cast,Similar,Reviews,Plot,Genre,Year,IMAGE,image
126,Dangal,8.2,N/A,84,129 min,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar","Sholay (1975) , 2010 Commonwealth Games (2010) , The Kapil Sharma Show: New Year Special (2016) ,","Wrestle With Your Emotions... @ ""You have to fight in a way that people remember you."" @ Awesome film n wonderful performance by Aamir. Disney n Aamir did a miracle with this film. @",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Drama, Mystery, Romance",2016,"https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_UY1200_CR113,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
127,The Kid,8.2,N/A,N/A,140 min,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance","Garip (1986) , Garip (1986) , Histoire(s) du cinéma: Une histoire seule (1989) ,",A Must-See Silent Comedy @ Emphatically Outstanding... @ One Of The Most Memorable Silent Films Ever @,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Action, Drama, Sport",1921,"https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY1200_CR83,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
128,Some Like It Hot,8.2,98,94,138 min,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis","Fanfare d'amour (1935) , Fistik gibi masallah (1964) , Rafoo Chakkar (1975) ,",Two musicians dressed as women join an all-girl band to escape the mobsters' vendetta @ One of the Best Comedies of the Cinema History @ What's Not To Like? @,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Mystery, Thriller",1959,"https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR72,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
129,The Father,8.2,88,98,97 min,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman","Floride (2015) , AniMat's Crazy Cartoon Cast: Oscars Untamed (2021) , Radio Dolin: Konchalovsky vs. Navalny, Uzbek cosmonauts and ""Chernobyl"" dir. Danila Kozlovsky (2021) ,","A look at dementia from the opposite angle. @ ""I don't know what's happening anymore."" @ So close to perfect and so personal @","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","Drama, Mystery",2020,"https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
130,All About Eve,8.2,98,99,180 min,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter","Applause (1973) , National Theatre Live: All About Eve (2019) , Applause (1973) ,","A Magnificent Timeless Tale of Ambition, Manipulation and Betrayal - Certainly One of the Best Classics Ever @ Wow, an 11 if possible! @ Just Brilliant! @",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"Biography, Comedy, Crime",1950,"https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_UX45_CR0,0,45,67_AL_.jpg"
131,Green Book,8.2,69,77,122 min,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali","Lassie (1954) , Driving Miss Daisy (1989) , Late Night with Seth Meyers: Mariska Hargitay and Ice-T/Sebastian Maniscalco/Tom Odell/Sean Kinney (2018) ,",I Was Captivated @ Green Book @ Ranks #5 on my IMDb Top 25 Best Buddy Films List. A Feel Good Movie at its Core @,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Crime, Drama, Thriller",2018,"https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_UX45_CR0,0,45,67_AL_.jpg"
132,The Wolf of Wall Street,8.2,75,80,112 min,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill","Boiler Room (2000) , Freaks (1932) , Citizen Kane (1941) ,","High energy and wonderfully excessive as it delivers an engaging true story, but the lack of morality anywhere was a limiting factor @ SELL ME THIS PEN @ Awesome movie, watched it multiple times @","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Drama, Family",2013,"https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_UY67_CR0,0,45,67_AL_.jpg"
133,Judgment at Nuremberg,8.2,60,92,158 min,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster","Playhouse 90: Judgment at Nuremberg (1959) , Playhouse 90: Judgment at Nuremberg (1959) , The Other Walls (1962) ,","Fantastic acting, script, and direction in a thought-provoking movie @ Cinematic Theater Of A Remarkable Kind @ ""My counsel says we were not aware of the extermination of the millions. He would give you the excuse: We were only aware of the extermination of the hundreds."" @","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Drama,1961,"https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_UX45_CR0,0,45,67_AL_.jpg"
134,Ran,8.2,96,96,118 min,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao","King Lear (1909) , Re Lear (1910) , The Tragedy of King Lear Part 1 (1948) ,","My third favorite Kurosawa film- deliberately paced (not painfully so), heavy on tragedy, and glorious in overall artistry @ The Best Film based on one of Shakespeare Best Works. This Masterpiece is recommended for anyone that loves movies . Truly one of the Greatest Films of all time! @ A film requiring patience with huge rewards for the viewer! @","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Drama, Fantasy, War",1985,"https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY1200_CR79,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMmU1NGYwZWYtOWExNi00ZTEyLTgwMmUtM2ZlMDVjNWM4YjVlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"
135,Casino,8.2,73,79,132 min,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone","The Adventures of Ozzie and Harriet (1952) , Far from the Madding Crowd (1967) , Wake in Fright (1971) ,","""Now it looks like Disney Land"" @ I enjoyed this more than ""Goodfellas"". @ I Know I Am In The Minority When I Say This Was Much Better Than Goodfellas. @","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.","Action, Drama, Sci-Fi",1995,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg"
136,Pan's Labyrinth,8.2,98,95,140 min,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil","The Wizard of Oz (1939) , The Shining (1980) , Na srebrnym globie (1988) ,","Stop the Abuse @ A fey, beautiful and dark masterpiece @ Just magical @","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Action, Crime, Drama",2006,"https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY1200_CR87,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYTNlZGZiYWI1YjMyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"
137,Unforgiven,8.2,85,96,156 min,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman","Yurusarezaru mono (2013) , The Third Man (1949) , The Searchers (1956) ,",That's right. I'm just a fella now. I ain't no different than anyone else no more. @ This aint just a great western. Its an incredible movie with an awesome star cast n superb performances. @ Masterpiece @,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Biography, Drama, History",1992,"https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR84,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
138,There Will Be Blood,8.2,93,91,119 min,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano","The Treasure of the Sierra Madre (1948) , Lolita (1962) , Bodysong (2003) ,","The Truth Hurts @ Excellent, gutsy filmmaking @ Phenomenal acting, not personally gripped by the story @","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","Animation, Adventure, Family",2007,"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
139,The Truman Show,8.2,90,95,135 min,"Peter Weir (dir.), Jim Carrey, Ed Harris","Spisok korabley (2008) , The Truman Show: Tru-Talk (1998) , Show Me the Way to Go Home (1932) ,","An unassuming film that is thought provoking on so many levels, well acted and thoroughly enjoyable however you come to it @ Life is Starting to Imitate Satire @ Prophetic @",An insurance salesman discovers his whole life is actually a reality TV show.,"Biography, Drama",1998,"https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY1200_CR89,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY67_CR0,0,45,67_AL_.jpg"
140,The Sixth Sense,8.2,64,86,111 min,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment","Thomas Sanders & Friends: Joystick Joyride: Kingdom Hearts 3 Ep. 2: Hercules! Hercules! (2019) , The Twilight Zone (1959) , The Sound of Music (1965) ,","Even if someone spoiled the ending for you, it's still worth seeing @ Still Very Good Even When You Know The Ending @ An appropriate spoiler-free review @","A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","Action, Crime, Drama",1999,"https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UY1200_CR91,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UY67_CR0,0,45,67_AL_.jpg"
141,A Beautiful Mind,8.2,72,74,100 min,"Ron Howard (dir.), Russell Crowe, Ed Harris","Harvey (1950) , The Game (1997) , Pollock (2000) ,","Powerful, quiet, effortless Crowe @ A Beautiful Movie @ Crowe Does It Again! @","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Animation, Adventure, Comedy",2001,"https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR89,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
142,Spider-Man: No Way Home,8.2,71,93,104 min,"Jon Watts (dir.), Tom Holland, Zendaya","Spider-Man 2 (2004) , Spider-Man: Far from Home (2019) , Spider-Man 2 (2004) ,","Loved every second @ Great concept, mediocre execution @ Phenomenal conclusion @","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Comedy, Crime",2021,"https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_UY67_CR0,0,45,67_AL_.jpg"
143,Yôjinbô,8.1,93,95,107 min,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno","Sanjuro (1962) , Roadhouse Nights (1930) , Miller's Crossing (1990) ,","""You don't mind if I kill all of you?"" ""What? Kill me if you can!"" ""It'll hurt."" @ Kurosawa. @ The epitome of cinema cool. @",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Drama, Mystery, Thriller",1961,"https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY1200_CR84,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg"
144,Monty Python and the Holy Grail,8.1,91,68,107 min,"Terry Gilliam (dir.), Graham Chapman, John Cleese","Monty Python's Flying Circus (1969) , Monty Python's Fliegender Zirkus (1972) , Life of Brian (1979) ,",WHAT is the capital of Assyria? I don't know that! @ the ultimate nonsense comedy @ They could grab it by the husk..... @,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Action, Comedy, Crime",1975,"https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
145,Shutter Island,8.1,63,98,103 min,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer","Das Cabinet des Dr. Caligari (1920) , Laura (1944) , The Red Shoes (1948) ,","One of the most memorable plot twists of this decade @ ""Men like you are my specialty, you know?"" @ The movie is perfect psycho drama @","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Comedy, Drama",2010,"https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY1200_CR90,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
146,The Treasure of the Sierra Madre,8.1,98,100,138 min,"John Huston (dir.), Humphrey Bogart, Walter Huston","Cheyenne: The Argonauts (1955) , Jazeerat al-shaytan (1990) , Greed (1924) ,","Just a great movie all around, but a very dark tale @ God Has a Sense of Humor @ One of Warner Brother's triumphs of the forties @",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Crime, Drama, Mystery",1948,"https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY1200_CR83,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
147,Jurassic Park,8.1,68,92,89 min,"Steven Spielberg (dir.), Sam Neill, Laura Dern","The Lost World: Jurassic Park (1997) , Jurassic World (2015) , Jurassic World: Dominion (2022) ,","A rare breed of film seldom seen anymore: a true masterpiece. @ A time when I thought dinosaurs were real @ With a bazillion other reviews, I'll keep this short. @",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Drama, Family, Sport",1993,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UX45_CR0,0,45,67_AL_.jpg"
148,The Great Escape,8.1,86,98,178 min,"John Sturges (dir.), Steve McQueen, James Garner","The Great Escape II: The Untold Story (1988) , Return to 'The Great Escape' (1993) , La Grande Illusion (1937) ,","""We Intend To Watch This Basket Very Closely."" @ If you're going to critique the history, then know the history. @ Not just great, simply magnificent more like! @",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Crime, Drama",1963,"https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY1200_CR68,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
149,Rashômon,8.1,98,94,127 min,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô","Tales: Cold Hearted (2017) , Little Red Riding Hood (1922) , La caperucita roja (1960) ,","A brilliant masterpiece from a masterful director @ Most of the time we can't even be honest with ourselves. @ Kurosawa's first milestone, one of the top foreign films of the 20th century @","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Action, Adventure, Sci-Fi",1950,"https://m.media-amazon.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1_UY1200_CR88,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX45_CR0,0,45,67_AL_.jpg"
150,Kill Bill: Vol. 1,8.1,69,85,130 min,"Quentin Tarantino (dir.), Uma Thurman, David Carradine","Kill Bill: Vol. 2 (2004) , Il grande duello (1972) , The Making of 'Kill Bill' (2003) ,","Cinema has rarely been this exciting! @ Kill Bill Is One Hell Of A Thrill @ I love this movie, I don't know why, but I just do. @","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Drama, Western",2003,"https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
151,No Country for Old Men,8.1,92,93,127 min,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem","The Clock (2010) , Tôkyô monogatari (1953) , Rear Window (1954) ,",Marvellous Ending @ How Much Violence Can You Handle? @ No Country For Old Men - Explanation - Spoilers @,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Action, Adventure",2007,"https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_UY1200_CR92,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
152,Finding Nemo,8.1,90,99,132 min,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres","Finding Dory (2016) , The Paul Behragam Talk Show: ""Balto 3"" R&T Part 6 (2015) , Finding Nemo (2003) ,","Yes, it's THAT good !! @ Pixar's best feature to date @ amazing visuals @","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Action, Thriller",2003,"https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY1200_CR88,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
153,The Thing,8.1,57,N/A,162 min,"John Carpenter (dir.), Kurt Russell, Wilford Brimley","The Thing (2011) , The Thing from Another World (1951) , Pingu's the Thing (2012) ,","A classic that still holds up to this very day @ ""The Thing"" is John Carpenter's masterpiece and one of the best classic horror films! @ Flips the scenario round from the original to great effect. @",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Action, Drama, War",1982,"https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY1200_CR85,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BNGViZWZmM2EtNGYzZi00ZDAyLTk3ODMtNzIyZTBjN2Y1NmM1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
154,The Elephant Man,8.1,78,92,109 min,"David Lynch (dir.), Anthony Hopkins, John Hurt","The Elephant Man (1982) , Freaks (1932) , Edward the Seventh (1975) ,",Almost Too Heart-Wrenching To Watch @ David Lynch's most accessible work. A truly remarkable film! @ A Beautiful Mind @,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Horror, Mystery, Sci-Fi",1980,"https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200_CR87,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
155,Chinatown,8.1,92,99,129 min,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway","The Two Jakes (1990) , The Two Jakes (1990) , The Maltese Falcon (1941) ,","I hated this movie @ A very classy, consistently engaging and dark detective story @ Capturing the True Spirit of Film-noir @","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Biography, Drama, Sport",1974,"https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY1200_CR80,0,630,1200_AL_.jpg","https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"
